time (us), GPS_fixType, GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course, GPS_hdop, GPS_eph, GPS_epv, GPS_velned[0], GPS_velned[1], GPS_velned[2]
52458619, 2, 8, 47.5635525, -122.0826907, 18, 0.09, 0.0, 310, 224, 289, 9, -1, 13
52488743, 2, 8, 47.5635525, -122.0826907, 18, 0.09, 0.0, 310, 224, 289, 9, -1, 13
52542951, 2, 8, 47.5635525, -122.0826908, 17, 0.09, 0.0, 310, 223, 288, 9, -1, 13
52743775, 2, 8, 47.5635524, -122.0826907, 17, 0.12, 0.0, 310, 223, 287, 9, -7, 17
52944546, 2, 8, 47.5635525, -122.0826908, 17, 0.12, 0.0, 310, 222, 287, 12, -1, 17
53165388, 2, 8, 47.5635524, -122.0826907, 17, 0.16, 0.0, 310, 221, 286, 15, -4, 25
53344334, 2, 8, 47.5635526, -122.0826907, 17, 0.18, 0.0, 310, 221, 285, 18, -4, 28
53545068, 2, 8, 47.5635525, -122.0826907, 17, 0.21, 0.0, 310, 221, 285, 20, -5, 30
53946719, 2, 8, 47.5635527, -122.0826907, 17, 0.28, 0.0, 310, 220, 284, 28, -6, 42
54145813, 2, 8, 47.5635528, -122.0826907, 17, 0.28, 0.0, 310, 220, 284, 28, -6, 42
54346985, 2, 8, 47.5635532, -122.0826912, 17, 0.30, 0.0, 310, 220, 284, 29, -6, 44
54547617, 2, 8, 47.5635534, -122.0826919, 17, 0.39, 0.0, 310, 220, 284, 29, -26, 57
54748435, 2, 8, 47.5635538, -122.0826923, 17, 0.36, 0.0, 310, 220, 284, 25, -27, 55
54949200, 2, 8, 47.5635540, -122.0826929, 17, 0.35, 0.0, 310, 220, 284, 27, -23, 58
55149974, 2, 9, 47.5635540, -122.0826929, 17, 0.43, 0.0, 236, 220, 284, 28, -32, 65
55170035, 2, 9, 47.5635539, -122.0826938, 17, 0.48, 309.1, 236, 220, 285, 28, -39, 70
55350975, 2, 9, 47.5635539, -122.0826946, 17, 0.46, 309.1, 236, 220, 285, 28, -37, 70
55549667, 2, 9, 47.5635538, -122.0826953, 17, 0.35, 309.1, 236, 221, 285, 22, -27, 59
55750304, 2, 9, 47.5635538, -122.0826960, 17, 0.41, 309.1, 236, 221, 286, 26, -32, 60
55951124, 2, 9, 47.5635537, -122.0826965, 17, 0.29, 309.1, 236, 221, 286, 19, -22, 50
56151882, 2, 9, 47.5635537, -122.0826969, 17, 0.29, 309.1, 236, 222, 287, 19, -22, 50
56352556, 2, 9, 47.5635537, -122.0826974, 17, 0.26, 309.1, 236, 222, 288, 17, -20, 44
56553357, 2, 9, 47.5635538, -122.0826981, 16, 0.30, 309.1, 236, 223, 289, 17, -24, 44
56754129, 2, 9, 47.5635541, -122.0826991, 16, 0.32, 309.1, 236, 223, 290, 17, -27, 41
56957020, 2, 9, 47.5635538, -122.0826991, 16, 0.40, 309.1, 236, 224, 291, 20, -35, 51
57175807, 2, 9, 47.5635537, -122.0826992, 16, 0.32, 309.1, 236, 225, 293, 21, -25, 52
57356395, 2, 9, 47.5635536, -122.0826994, 16, 0.23, 309.1, 236, 226, 294, 16, -16, 42
57555505, 2, 9, 47.5635530, -122.0826985, 16, 0.14, 309.1, 236, 226, 295, 13, -5, 24
