time (us), GPS_fixType, GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course, GPS_hdop, GPS_eph, GPS_epv
46271023, 2, 7, 47.5635634, -122.0828496, 3, 0.02, 0.0, 298, 137, 253
46286089, 2, 7, 47.5635634, -122.0828496, 3, 0.02, 0.0, 298, 137, 253
46392456, 2, 7, 47.5635631, -122.0828495, 3, 0.04, 0.0, 298, 136, 251
46592489, 2, 7, 47.5635628, -122.0828494, 3, 0.01, 0.0, 298, 135, 250
46792644, 2, 7, 47.5635624, -122.0828492, 3, 0.02, 0.0, 298, 134, 249
46992587, 2, 7, 47.5635619, -122.0828492, 3, 0.02, 0.0, 298, 133, 248
47192673, 2, 7, 47.5635616, -122.0828493, 3, 0.07, 0.0, 298, 133, 247
48072692, 2, 7, 47.5635597, -122.0828490, 3, 0.12, 0.0, 298, 130, 242
48395210, 2, 7, 47.5635595, -122.0828489, 3, 0.12, 0.0, 298, 129, 241
48595176, 2, 7, 47.5635591, -122.0828488, 3, 0.06, 0.0, 298, 129, 240
48795246, 2, 7, 47.5635589, -122.0828488, 3, 0.08, 0.0, 298, 129, 240
48995142, 2, 7, 47.5635587, -122.0828487, 3, 0.07, 0.0, 298, 128, 240
49196791, 2, 7, 47.5635584, -122.0828486, 3, 0.04, 0.0, 298, 128, 240
49395772, 2, 7, 47.5635582, -122.0828485, 3, 0.05, 0.0, 298, 128, 240
49595871, 2, 7, 47.5635579, -122.0828486, 3, 0.04, 0.0, 298, 128, 240
49795724, 2, 7, 47.5635577, -122.0828487, 3, 0.02, 0.0, 298, 128, 239
49995687, 2, 7, 47.5635574, -122.0828485, 3, 0.06, 0.0, 298, 128, 239
50195718, 2, 7, 47.5635572, -122.0828484, 3, 0.05, 0.0, 298, 128, 239
50395679, 2, 7, 47.5635570, -122.0828483, 3, 0.02, 0.0, 298, 128, 239
50401691, 2, 7, 47.5635570, -122.0828483, 3, 0.02, 0.0, 298, 128, 239
50595760, 2, 7, 47.5635568, -122.0828483, 3, 0.01, 0.0, 298, 128, 239
50795619, 2, 7, 47.5635566, -122.0828482, 3, 0.01, 0.0, 298, 127, 239
50995674, 2, 7, 47.5635564, -122.0828481, 3, 0.05, 0.0, 298, 127, 239
51196601, 2, 7, 47.5635563, -122.0828481, 3, 0.02, 0.0, 298, 127, 239
51397293, 2, 7, 47.5635562, -122.0828480, 3, 0.03, 0.0, 298, 127, 239
51597253, 2, 7, 47.5635561, -122.0828479, 3, 0.05, 0.0, 298, 127, 239
51797279, 2, 7, 47.5635559, -122.0828478, 3, 0.04, 0.0, 298, 127, 239
51997102, 2, 7, 47.5635559, -122.0828477, 4, 0.04, 0.0, 298, 127, 239
52197021, 2, 7, 47.5635558, -122.0828478, 4, 0.03, 0.0, 298, 127, 239
52397092, 2, 7, 47.5635556, -122.0828477, 4, 0.01, 0.0, 298, 127, 238
52596992, 2, 7, 47.5635555, -122.0828477, 4, 0.01, 0.0, 298, 127, 238
52797963, 2, 7, 47.5635553, -122.0828476, 4, 0.03, 0.0, 298, 126, 238
52997643, 2, 7, 47.5635552, -122.0828476, 4, 0.03, 0.0, 298, 126, 238
53197659, 2, 7, 47.5635551, -122.0828476, 4, 0.02, 0.0, 298, 126, 238
53397498, 2, 7, 47.5635550, -122.0828475, 4, 0.03, 0.0, 298, 126, 238
53597620, 2, 7, 47.5635547, -122.0828476, 4, 0.06, 0.0, 298, 126, 238
53797488, 2, 7, 47.5635545, -122.0828477, 4, 0.03, 0.0, 298, 126, 237
53997416, 2, 7, 47.5635544, -122.0828477, 4, 0.09, 0.0, 298, 125, 237
54197524, 2, 7, 47.5635542, -122.0828477, 4, 0.12, 0.0, 298, 125, 236
54397401, 2, 7, 47.5635541, -122.0828477, 4, 0.09, 0.0, 298, 125, 236
54516899, 2, 7, 47.5635541, -122.0828477, 4, 0.09, 0.0, 298, 125, 236
54598400, 2, 7, 47.5635538, -122.0828476, 4, 0.06, 0.0, 298, 124, 235
54798007, 2, 7, 47.5635536, -122.0828476, 4, 0.02, 0.0, 298, 124, 235
54997839, 2, 7, 47.5635535, -122.0828475, 4, 0.04, 0.0, 298, 124, 234
55197702, 2, 7, 47.5635533, -122.0828475, 4, 0.07, 0.0, 298, 123, 234
55397728, 2, 7, 47.5635532, -122.0828474, 4, 0.04, 0.0, 298, 123, 233
55598391, 2, 7, 47.5635531, -122.0828475, 4, 0.00, 0.0, 298, 123, 233
55798271, 2, 7, 47.5635530, -122.0828474, 4, 0.03, 0.0, 298, 122, 233
55998189, 2, 7, 47.5635529, -122.0828474, 4, 0.02, 0.0, 298, 122, 232
56198135, 2, 7, 47.5635528, -122.0828476, 4, 0.06, 0.0, 298, 122, 232
56398283, 2, 7, 47.5635528, -122.0828475, 4, 0.07, 0.0, 298, 122, 231
