time (us), GPS_fixType, GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course, GPS_hdop, GPS_eph, GPS_epv
50419245, 2, 6, 47.5635374, -122.0827887, 11, 0.15, 48.1, 278, 277, 273
50434319, 2, 6, 47.5635374, -122.0827887, 11, 0.15, 48.1, 278, 277, 273
50551888, 2, 6, 47.5635373, -122.0827887, 11, 0.10, 48.1, 278, 275, 272
50752969, 2, 6, 47.5635373, -122.0827888, 11, 0.11, 48.1, 278, 273, 270
51153092, 2, 6, 47.5635373, -122.0827889, 11, 0.20, 48.1, 278, 270, 268
51353171, 2, 6, 47.5635372, -122.0827889, 11, 0.17, 48.1, 278, 268, 266
51753249, 2, 6, 47.5635371, -122.0827888, 11, 0.13, 48.1, 278, 266, 265
51953167, 2, 6, 47.5635370, -122.0827887, 11, 0.14, 48.1, 278, 264, 264
52153120, 2, 6, 47.5635369, -122.0827887, 11, 0.19, 48.1, 278, 263, 263
52353820, 2, 6, 47.5635368, -122.0827885, 11, 0.16, 48.1, 278, 262, 262
52553816, 2, 6, 47.5635367, -122.0827886, 11, 0.18, 48.1, 278, 261, 261
52953661, 2, 6, 47.5635366, -122.0827886, 11, 0.04, 48.1, 278, 258, 260
53153637, 2, 6, 47.5635366, -122.0827888, 11, 0.04, 48.1, 278, 257, 259
53353688, 2, 6, 47.5635366, -122.0827889, 11, 0.01, 48.1, 278, 256, 258
53553514, 2, 6, 47.5635365, -122.0827889, 11, 0.06, 48.1, 278, 255, 258
53754154, 2, 6, 47.5635364, -122.0827888, 11, 0.11, 48.1, 278, 254, 257
53954095, 2, 6, 47.5635363, -122.0827890, 11, 0.32, 48.1, 278, 253, 256
54153890, 2, 6, 47.5635362, -122.0827891, 11, 0.18, 48.1, 278, 252, 256
54353891, 2, 6, 47.5635362, -122.0827890, 11, 0.28, 48.1, 278, 251, 255
54549888, 2, 6, 47.5635362, -122.0827890, 11, 0.28, 48.1, 278, 251, 255
54553895, 2, 6, 47.5635363, -122.0827894, 11, 0.48, 350.0, 278, 249, 255
54753808, 2, 6, 47.5635367, -122.0827894, 11, 0.26, 350.0, 278, 249, 255
54953781, 2, 6, 47.5635376, -122.0827891, 11, 0.53, 350.0, 278, 251, 255
55154465, 2, 6, 47.5635373, -122.0827887, 11, 0.11, 350.0, 278, 252, 256
55554502, 2, 6, 47.5635362, -122.0827874, 11, 0.31, 350.0, 278, 253, 255
55754402, 2, 6, 47.5635338, -122.0827870, 11, 0.77, 350.0, 278, 253, 254
